mkey,ntsb_no,event_date,city,state,country,narrative_text,aircraft_type,phase_of_flight,cause_codes
202637,WPR26LA124,2026-03-11 10:26:00+00:00,Upland,California,United States,"The pilot’s improper approach, which resulted in a long landing, runway excursion, and a nose over.",CESSNA T210 AIR,Landing-landing roll,0106204020|0106201011
202634,ERA26LA145,2026-03-10 19:15:00+00:00,Whitmire,South Carolina,United States,,ROCKWELL INTERNATIONAL 114 AIR,Enroute-cruise,
202622,ERA26LA144,2026-03-08 11:00:00+00:00,Indian Trail,North Carolina,United States,,PIPER PA-28-140 AIR,Initial climb,
202617,ANC26LA018,2026-03-07 23:10:00+00:00,Fort Worth,Texas,United States,,BELL TEXTRON CANADA LTD 505 HELI,Takeoff,
202619,CEN26LA137,2026-03-07 14:23:00+00:00,Lockhart,Texas,United States,,PIPER PA-12 AIR,Takeoff,
202609,GAA26WA123,2026-03-05 05:00:00+00:00,Aberdeen,Other Foreign,United Kingdom,,SIKORSKY S92 HELI,Unknown,
202602,CEN26FA132,2026-03-04 22:45:00+00:00,Deerfield,Illinois,United States,,CESSNA T210M AIR,Unknown,
202610,CEN26LA134,2026-03-04 14:15:00+00:00,Sonora,Texas,United States,,PIPER PA-18-150 AIR,Initial climb,
202621,ERA26LA143,2026-03-01 18:30:00+00:00,Carthage,North Carolina,United States,The pilot’s failure to maintain clearance from trees while on final approach for landing. Contributing to the accident were the flight instructor’s inadequate remedial actions.,CESSNA 172 AIR,Approach-VFR pattern final,0106202020|0206304044|0202153540
202590,DCA26WA147,2026-03-01 05:00:00+00:00,San Salvador,Other Foreign,El Salvador,,BOEING 737-823 AIR,Initial climb,
202587,GAA26WA120,2026-02-28 17:10:00+00:00,Egelsbach,Other Foreign,Germany,,BEECH B-60 AIR,Maneuvering-low-alt flying,
202574,DCA26LA142,2026-02-27 14:53:00+00:00,Houston,Texas,United States,,BOEING 787 AIR,Landing-flare/touchdown,
202558,CEN26FA126,2026-02-26 14:30:00+00:00,Rogers,Arkansas,United States,,PECK JODEL-F12 AIR,Enroute,
202598,GAA26WA121,2026-02-26 10:30:00+00:00,Barreirinhas,Other Foreign,Brazil,,CESSNA 172 AIR,Approach-VFR pattern downwind,
202490,ERA26LA123,2026-02-23 14:34:00+00:00,Monroe,North Carolina,United States,The pilot’s failure to maintain directional control while landing in gusting crosswind conditions.,PIPER PA-28-180 AIR,Landing,0206304044|0106202020|0303404585
202478,ERA26FA120,2026-02-22 16:10:00+00:00,Evergreen,Alabama,United States,,AIRBUS HELICOPTERS EC 130 T2 HELI,Landing,
202508,DCA26WA136,2026-02-22 13:00:00+00:00,Maiquetía,Other Foreign,Venezuela,,MCDONNELL DOUGLAS DC-9 AIR,Takeoff,
202507,GAA26WA117,2026-02-19 15:00:00+00:00,Amaranka,,Russia,,ROBINSON R44 HELI,Maneuvering,
202459,ERA26LA118,2026-02-19 10:30:00+00:00,Homestead,Florida,United States,,TECNAM P2006T AIR,Enroute-cruise,
202659,DCA26WA158,2026-02-18 14:29:00+00:00,Cologne,Other Foreign,Germany,,BOEING 737 AIR,Approach,
202442,GAA26WA107,2026-02-14 05:00:00+00:00,Blanca Piedra,,Ecuador,,PIPER PA36 AIR,Unknown,
202444,CEN26LA117,2026-02-13 17:00:00+00:00,De Smet,South Dakota,United States,The pilot’s failure to maintain directional control during landing.,BELLANCA 8GCBC AIR,Landing,0204151099|0106202020|0203201544
202448,WPR26LA105,2026-02-13 16:42:00+00:00,Three Forks,Montana,United States,The pilot’s failure to maintain directional during the landing roll with a variable wind.,PIPER PA-20 AIR,Landing-landing roll,0206304044|0106202020|0303402582
202577,DCA26WA143,2026-02-12 05:00:00+00:00,Exhuma,,Bahamas,,BOMBARDIER INC CL-600-2D24 AIR,Approach-VFR pattern final,
202429,ERA26LA112,2026-02-09 18:05:00+00:00,Umatilla,Florida,United States,"The failure of the right main landing gear during the landing roll, which resulted in a loss of control on the ground and collision with an airport sign.",BEECH B19 AIR,Landing-landing roll,0102321006
202433,ERA26LA113,2026-02-09 17:21:00+00:00,Bartow,Florida,United States,,CESSNA 320C AIR,Landing-landing roll,
202406,CEN26LA110,2026-02-06 19:10:00+00:00,Beaumont,Texas,United States,,Glasair GlaStar AIR,Initial climb,
202409,ERA26LA108,2026-02-06 12:30:00+00:00,Palmetto,Florida,United States,,STINSON 108-3 AIR,Approach-VFR go-around,
202422,ERA26LA111,2026-02-06 12:15:00+00:00,Thomson,Georgia,United States,An in-flight collision with a bird while maneuvering.,CIRRUS DESIGN CORP SR22T AIR,Maneuvering,0302204581
202657,GAA26WA131,2026-02-04 20:34:00+00:00,OF,,Australia,,Avion Mudry CAP 10B AIR,Maneuvering-aerobatics,
